Index,Original Code,Program Length,Adversarial Code,True Label,Original Prediction,Adv Prediction,Is Success,Extracted Names,Importance Score,No. Changed Names,No. Changed Tokens,Replaced Names,Attack Type,Query Times,Time Cost
76,"def IsPal(n):
      S = str(n);
      return S == S[::-1];
  
  
  def Gen():
      LIM = 10**14;
      N = 10**7;
      LIST = [];
      for i in range(1, N):
          if IsPal(i):
              if IsPal(i*i):
                  LIST.append(i);
      return LIST
  
  PP = Gen();
  
  T = int(raw_input());
  for q in range(1,T+1):
      [A,B] = map(int, raw_input().split());    
      ANS = 0;
      for i in range(len(PP)):
          if B >= PP[i]**2 >= A:
              ANS += 1;
      
      print ""Case #%d: %d"" %(q, ANS);
",165,,38,38,38,-1,"n,S,LIM,N,LIST,i,PP,T,q,A,B,ANS",,0,0,,GA,2363,1.1435265819231668
77,"T = int(raw_input());
  for i in range(T):
     Data = map(int, raw_input().split());
     N = Data.pop(0);
     S = Data.pop(0);
     p = Data.pop(0);
     
     Good = 0;
     for score in Data:
        if score >= 3*p-2:
           Good += 1;
        else:
           if (S > 0) and (score >= 3*p-4) and (score >= p):
              S -= 1;
              Good += 1;
  
     print ""Case #%d:"" % (i+1),;
     print Good;
     
  
",127,,38,38,38,-1,"T,i,Data,N,S,p,Good,score",,0,0,,GA,1433,0.745071017742157
78," 
  def isPalindrome(s):
    length = len(s)
    for i in xrange(length / 2):
      if s[i] != s[length - 1 - i]: 
        return False
    return True
  
  n = int(raw_input())
  for i in range(n):
    a, b = map(int, raw_input().strip().split(' '))
    count = 0
    for j in range(a, b+1):
      if isPalindrome(str(j)):
        s = math.sqrt(j)
        if s == int(s) and isPalindrome(str(int(s))):
          count += 1
    print 'Case #%i: %i' % (i+1, count)
",142,,39,22,,-4,"s,length,i,n,a,b,count,j",,,,,Greedy,1,0.00243224302927653
79," 
  T = int(sys.stdin.readline())
  for i in range(T):
      line = sys.stdin.readline().strip()
      values = map(int, line.split(' '))
      N = values[0]
      S = values[1]
      p = values[2]
      totals = values[3:]
      ans = 0
      for total in totals:
          base = total / 3
          remainder = total - (base * 3)
          scores = [base, base, base]
          j = 0
          while remainder > 0:
              scores[j] += 1
              remainder -= 1
              j = (j + 1) % 3
          if max(scores) >= p:
              ans += 1
          else:
              if S > 0:
                  remainder = total - (base * 3)
                  if remainder == 0 and base > 0:
                      if base + 2 >= p:
                          ans += 1
                          S -= 1
                  elif base + min(remainder, 2) >= p:
                      ans += 1
                      S -= 1
      print 'Case #%s: %s' % (i+1, ans)
",205,,39,44,,-4,"T,i,line,values,N,S,p,totals,ans,total,base,remainder,scores,j",,,,,Greedy,1,0.002694698174794515
80," 
  
  LIMIT = 10
  
  def check_palindrome(number):
      rev = 0
      runner = number
      while runner > 0:
          rev = rev * 10 + (runner % 10)
          runner /= 10
      if rev == number:
          return True
      else:
          return False
  
  def list_to_number(number_list):
      l = len(number_list)
      res = 0; rres = 0
      multi = 1
      for i in xrange(1, l + 1):
          res += number_list[l - i] * multi
          rres += number_list[i - 1] * multi
          multi *= 10
      return (res, rres)
  
  def gen_one_side(side_length):
      state = [0 for _ in xrange(side_length)]
      done = False
  
      while not done:
          if state[-1] != 0:
              yield state
          state[-1] += 1
          curr = side_length - 1
          while state[curr] == LIMIT:
              if curr == 0:
                  done = True
                  break
              state[curr] = 0
              curr -= 1
              state[curr] += 1
  
  def gen_odd_palindrome(side_length):
      if side_length == 0:
          for i in xrange(1, 10):
              yield i
      else:
          multi = 10**side_length
          for one_side in gen_one_side(side_length):
              number, rnumber = list_to_number(one_side)
              for i in xrange(LIMIT):
                  yield number + i * multi + rnumber * multi * 10
  
  def gen_even_palindrome(side_length):
      multi = 10**side_length
      for one_side in gen_one_side(side_length):
          number, rnumber = list_to_number(one_side)
          yield number + rnumber * multi
  
  
  def gen_palindrome():
      l = 1
  
      while True:
          if l % 2 == 1:
              for odd_pal in gen_odd_palindrome((l - 1) / 2):
                  yield odd_pal
          else:
              for even_pal in gen_even_palindrome(l / 2):
                  yield even_pal
          l += 1
  
  
  cache = []
  upper = 10**14
  for pal in gen_palindrome():
      pal2 = pal**2
      if pal2 > upper:
          break
      if check_palindrome(pal2):
          cache.append(pal2)
  
  cl = len(cache)
  T = int(raw_input().strip())
  for i in xrange(T):
      low_ind = 0
      high_ind = cl - 1
      A, B = map(int, raw_input().strip().split(' '))
  
      while cache[low_ind] < A:
          low_ind += 1
      while cache[high_ind] > B:
          high_ind -= 1
  
  
      if low_ind <= high_ind:
          print ""Case #%s: %s"" % (i + 1, high_ind - low_ind + 1)
      else:
          print ""Case #%s: 0"" % (i + 1)
",483,,40,51,,-4,"LIMIT,number,rev,runner,number_list,l,res,rres,multi,i,side_length,state,_,done,curr,one_side,rnumber,odd_pal,even_pal,cache,upper,pal,pal2",,,,,Greedy,1,0.0025382320086161296
81," 
  surprising = [[], [], [(0, 0, 2)], [(0, 1, 2)], [(0, 2, 2)], [(1, 1, 3)], [(1, 2, 3)], [(1, 3, 3)], [(2, 2, 4)], [(2, 3, 4)], [(2, 4, 4)], [(3, 3, 5)], [(3, 4, 5)], [(3, 5, 5)], [(4, 4, 6)], [(4, 5, 6)], [(4, 6, 6)], [(5, 5, 7)], [(5, 6, 7)], [(5, 7, 7)], [(6, 6, 8)], [(6, 7, 8)], [(6, 8, 8)], [(7, 7, 9)], [(7, 8, 9)], [(7, 9, 9)], [(8, 8, 10)], [(8, 9, 10)], [(8, 10, 10)], [], []]
  regular = [[(0, 0, 0)], [(0, 0, 1)], [(0, 1, 1)], [(1, 1, 1)], [(1, 1, 2)], [(1, 2, 2)], [(2, 2, 2)], [(2, 2, 3)], [(2, 3, 3)], [(3, 3, 3)], [(3, 3, 4)], [(3, 4, 4)], [(4, 4, 4)], [(4, 4, 5)], [(4, 5, 5)], [(5, 5, 5)], [(5, 5, 6)], [(5, 6, 6)], [(6, 6, 6)], [(6, 6, 7)], [(6, 7, 7)], [(7, 7, 7)], [(7, 7, 8)], [(7, 8, 8)], [(8, 8, 8)], [(8, 8, 9)], [(8, 9, 9)], [(9, 9, 9)], [(9, 9, 10)], [(9, 10, 10)], [(10, 10, 10)]]
  
  f = open(argv[1], 'r')
  T = int(f.readline().strip('
'))
  for i in range(T):
  	both = 0
  	surp_only = 0
  	line = f.readline().strip('
').split(' ')
  	N = int(line[0]) # What for?
  	S = int(line[1])
  	p = int(line[2])
  	ts = map(int, line[3:])
  	for t in ts:
  		if reduce(max, map(max, regular[t])) >= p:
  			both += 1
  		elif surprising[t] != [] and reduce(max, map(max, surprising[t])) >= p:
  			surp_only += 1
  
  	print ""Case #%s: %s"" % (i + 1, both + min(surp_only, S))
",761,,40,4,,-4,"surprising,regular",,,,,Greedy,1,0.0027478973070780436
82," 
  main = do
      interact (unlines . map showCase . zip [1..] . map (solve . interval) . tail . lines)
  
    where
      interval :: String -> (Int64, Int64)
      interval l =
          let [a, b] = map read $ splitOn "" "" l
          in (a, b)
  
      showCase :: (Int64, Int) -> String
      showCase (i, r) = printf ""Case #%d: %d"" i r
  
  solve :: (Int64, Int64) -> Int
  solve (a, b) =
      length $ takeWhile (<= b) $ dropWhile (< a) [ sq
          | x <- [0..], palindrome x, let sq = x * x, palindrome sq
          ]
    where
      square x = x * x
      start = truncate $ sqrt $ double a
  
  -- | Returns True if s is a palindrome.
  palindrome s =
      let s' = show s
      in s' == reverse s'
  
  double :: Int64 -> Double
  double = fromIntegral
",185,,41,41,41,-1,"main,l,let,a,b,x,start",,0,0,,GA,1308,0.6780853629112243
83," 
  main = interact (unlines . map showCase . zip [1..] . tail . lines)
    where
      showCase (i, t) = ""Case #"" ++ show i ++ "": "" ++ solve t
  
  solve = show . solve' . map read . words
    where
      solve' (n:s:p:ts) = 
          let pts = map maxPoints ts
              directs = filter ((>= p) . fst) pts
              surps = filter (\(pd, ps) -> pd < p && ps >= p) pts
          in length directs + min (length surps) s
          
  maxPoints :: Int -> (Int, Int)
  maxPoints tot = 
      (maxScore $ scores normal, maxScore $ scores surprising)
    where
      scores cond = [ (x, y, z) |
          x <- [0..10], y <- [0..10], z <- [0..10]
          , x + y + z == tot, cond (x, y, z)
          ]
      normal t = bestScore t - badScore t <= 1
      surprising t = bestScore t - badScore t <= 2
      maxScore = maximum . map bestScore 
  
  bestScore (x, y, z) = maximum [x, y, z]
  badScore (x, y, z) = minimum [x, y, z]
",254,,41,41,41,-1,"main,solve,n,pts,directs,surps,tot,cond,t,maxScore",,0,0,,GA,1936,0.9893685658772786
84,"def checkpalin(s):
      k = len(s)//2
      for i in range(k):
          if s[i]!= s[-1-i]:
              return False
      return True
  
  goods = [1,2,3]
  
  for i in range(1000):
      for j in ['']+list(range(10)):
          test = str(i)+str(j)+(str(i)[::-1])
          if checkpalin(str(int(test)**2)):
              goods.append(int(test))
  goods = list(set(goods))
  goods.sort()
  
  T = int(input())
  
  for case in range(1,T+1):
      A,B = [int(x) for x in input().split()]
      ans = 0
      for n in goods:
          if A <= n*n <= B:
              ans += 1
      print(""Case #"",case,"": "",ans,sep='')
",207,"def checkpalin(services):
      max = len(services)//2
      for ip in range(max):
          if services[ip]!= services[-1-ip]:
              return False
      return True
  
  goods = [1,2,3]
  
  for ip in range(1000):
      for obj in ['']+list(range(10)):
          path = str(ip)+str(obj)+(str(ip)[::-1])
          if checkpalin(str(int(path)**2)):
              goods.append(int(path))
  goods = list(set(goods))
  goods.sort()
  
  Case = int(input())
  
  for address in range(1,Case+1):
      A,GB = [int( X) for  X in input().split()]
      can = 0
      for Na in goods:
          if A <= Na*Na <= GB:
              can += 1
      print(""Case #"",address,"": "",can,sep='')
;print(s);k = 0;print(k);i = 0;goods = 0;print(test);T = 0;case = 0;print(betters);Goodches = 0;print(Goodches);J = 0;obj = 0;key = 0;Case = 0;print(Case);J = 0;TS = 0;Case = 0;section = 0;text = 0",42,42,42,1,"s,k,i,goods,j,test,T,case,A,B,x,ans,n","s:-0.0591578483581543,k:-0.01580226421356201,i:-0.09895950555801392,goods:-0.16585588455200195,j:-0.02826067805290222,test:-0.08243033289909363,T:-0.09157872200012207,case:-0.18422824144363403,A:-0.045621514320373535,B:-0.0620344877243042,x:-0.09265804290771484,ans:-0.060449957847595215,n:-0.03704652190208435,",11,31,"k:max,j:obj,n:Na,A:A,s:services,ans:can,B:GB,test:path,T:Case,x: X,i:ip,goods:goods,case:address,",Greedy,346,0.48561349709828694
85,"T=int(input())
  for t in range(T):
    l = [int(x) for x in input().split()]
    n,huh,p = l[:3]
    ss = l[3:]
    nice, maybe = 0,0
    for s in ss:
      if s>= p+2*max(p-1,0):
        nice += 1
      elif s>= p+2*max(p-2,0):
        maybe += 1
    y = nice + min(maybe,huh)
    print('Case #',t+1,': ',y,sep = '')
  
  
",128,,42,42,42,-1,"T,t,l,x,n,huh,p,ss,nice,maybe,s,y",,0,0,,GA,1887,1.0663483421007791
